"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario"
"1","726","Nicolas MILLAN MURILLO","15","Pit bike","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","","50.020","10",""
"2","681","Andres Felipe RESTREPO CASTRILLON","13","Pit bike","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","0.035","49.923","10",""
"3","243","David Fernando BURBANO GOMEZ","11","Pit bike","AKT","Putumayo","TEAM RACING MOCOA","27.581","51.457","10",""
"4","96","Oscar Santiago MUÑOZ CARVAJAL","10","Pit bike","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1 Vuelta","53.508","9",""
"5","450","Derian Andres ROZO CASTIBLANCO","9","Pit bike","Yamaha","Cundinamarca","LISTO PILOTO","1 Vuelta","57.355","9",""
"NT","349","Samuel Fernando rodriguez castro","0","Pit bike","AKT","Putumayo","motoclub mocoa","NT","55.615","7",""
"NT","988","JUAN CARLOS LOPEZ VIDAL","0","Pit bike","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","NT","53.412","2",""
"NT","291","Juan David RIVERA PARRA","0","Pit bike","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","NT","55.468","2",""
"NT","88","Gerardo camilo TORRES","0","Pit bike","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","NT","","",""
"NT","914","Santiago Andres Guerra Ramos","0","Pit bike","TVS","Nariño","CLUB JOSMARC MOTOS RACING","NT","","",""
