"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","206","Juan Martin HOYOS VASQUEZ","Infantil mini","3","","1:22.940","Yamaha","Antioquia","STUNT FIVE","6",""
"2","319","Samuel BELTRÁN PRIETO","Infantil mini","2","27.655","1:24.995","KTM","Tolima","GR 522 RACING","6",""
"3","49","Ivvana Rugeles Avendaño","Infantil mini","1","36.002","1:27.523","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","6",""
"4","255","Juan Jose LEYTON ERASO","Infantil mini","1","41.408","1:27.165","KTM","Risaralda","CLUB LOS GUEPARDOS","6","Parametros técnicos: Sin tapa piñón"
"5","221","Jeronimo CASTILLO JIMENEZ","Infantil mini","1","42.965","1:23.970","KTM","Bogotá D.C.","Xspeed Racing","6",""
"6","33","Jorge Mario OCAMPO MEJIA","Infantil mini","1","58.550","1:30.413","Cobra","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","6",""
"7","717","Mariana ARISMEDI TRUJILLO","Infantil mini","1","59.632","1:28.255","Cobra","Bogotá D.C.","Todo terreno track","6",""
"8","109","Sebastian LOPEZ MUÑOZ","Infantil mini","1","1:02.837","1:30.174","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","6",""
"9","917","Elias YEPES ZAMORANO","Infantil mini","1","1 Vuelta","1:33.862","KTM","Antioquia","CLUB GRILLOS RACING","5",""
"10","O-317","","Infantil mini","1","1 Vuelta","1:35.927","","","","5",""
"11","133","Valery DIAZ VELASQUEZ","Infantil mini","1","1 Vuelta","1:37.678","Cobra","Bogotá D.C.","Todo terreno track","5",""
"12","10","Isaak Dominic CAICEDO CALLE","Infantil mini","1","1 Vuelta","1:28.131","KTM","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","5",""
"13","11","Mathias OTALVARO MARULANDA","Infantil mini","1","1 Vuelta","1:40.691","Yamaha","Quindío","CLUB DISCOVER QUINDIO","5",""
"14","927","Emiliano MENDEZ CANO","Infantil mini","1","1 Vuelta","1:48.587","KTM","Risaralda","CLUB LOS GUEPARDOS","5",""
"15","O-209","Jeronimo Alvarez","Infantil mini","1","2 Vueltas","1:50.816","","Valle","","4",""
"16","157","Agustín ARAGÓN JIMENEZ","Infantil mini","0","2 Vueltas","1:46.393","KTM","Quindío","CLUB DISCOVER QUINDIO","4",""
"17","312","Santiago Sánchez Jiménez","Infantil mini","0","3 Vueltas","2:30.803","GasGas","Valle del Cauca","Carasucias","3",""
"18","O-13","","Infantil mini","0","6 Vueltas","","","","","",""
