"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","11","Libre pro","1:03.487","4","","",""
"2","228","Jeronimo DAMELINES LOAIZA","13","Risaralda","CLUB LOS GUEPARDOS","GasGas","11","Libre pro","1:05.664","1","8.582","8.582",""
"3","563","Jhon Jader Valero Palencia","11","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","11","Libre pro","1:08.097","5","34.643","26.061",""
"4","199","Nicolas Felipe REY REY","10","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","11","Libre pro","1:10.305","2","51.896","17.253",""
"5","937","Jose Miguel MAYOR BEDOYA","9","Valle del Cauca","Carasucias","KTM","11","Libre pro","1:10.899","2","1:00.838","8.942",""
"6","710","Juan David MENDOZA DUARTE","8","Meta","VILLAVICENCIO RACING CLUB","KTM","11","Libre pro","1:11.851","7","1:03.276","2.438",""
"7","722","Alan HERNANDEZ RABE","7","Valle del Cauca","Carasucias","Sherco","10","Libre pro","1:13.696","1","1 Vuelta","1 Vuelta",""
"8","627","Leonel giraldo jaramillo","6","Tolima","GR 522 RACING","Yamaha","10","Libre pro","1:12.613","1","1 Vuelta","6.546",""
"9","811","SEBASTIAN LOPEZ MONCAYO","5","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","10","Libre pro","1:12.761","1","1 Vuelta","16.385",""
"10","411","Juan Sebastian GIRON CARVAJAL","4","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","10","Libre pro","1:15.789","9","1 Vuelta","32.533",""
"11","29","Jeronimo PIEDRAHITA HINCAPIE","3","Caldas","CLUB DE MOTOCICLISMO JP36","Honda","10","Libre pro","1:13.138","4","1 Vuelta","5.501",""
"12","630","Samuel Andres PINTO DUARTE","2","Meta","VILLAVICENCIO RACING CLUB","Yamaha","8","Libre pro","1:11.787","5","3 Vueltas","2 Vueltas",""
"NT","814","Abel Eduardo CARABALI CARABALI","0","Valle del Cauca","Carasucias","Yamaha","2","Libre pro","1:11.594","1","NT","",""
"NT","229","Rubén Dario peña hoyos","0","Valle del Cauca","Carasucias","Yamaha","2","Libre pro","1:15.781","1","NT","",""
