"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","Libre pro","32","0","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","2","15","15"
"2","228","Jeronimo DAMELINES LOAIZA","Libre pro","29","3","GasGas","Risaralda","CLUB LOS GUEPARDOS","3","13","13"
"3","199","Nicolas Felipe REY REY","Libre pro","22","10","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1","10","11"
"4","563","Jhon Jader Valero Palencia","Libre pro","22","10","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","11","10"
"5","937","Jose Miguel MAYOR BEDOYA","Libre pro","19","13","KTM","Valle del Cauca","Carasucias","1","9","9"
"6","722","Alan HERNANDEZ RABE","Libre pro","16","16","Sherco","Valle del Cauca","Carasucias","1","7","8"
"7","710","Juan David MENDOZA DUARTE","Libre pro","16","16","KTM","Meta","VILLAVICENCIO RACING CLUB","1","8","7"
"8","627","Leonel giraldo jaramillo","Libre pro","11","21","Yamaha","Tolima","GR 522 RACING","1","6","4"
"9","29","Jeronimo PIEDRAHITA HINCAPIE","Libre pro","9","23","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","1","3","5"
"10","411","Juan Sebastian GIRON CARVAJAL","Libre pro","8","24","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1","4","3"
"11","811","SEBASTIAN LOPEZ MONCAYO","Libre pro","8","24","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","5","2"
"12","814","Abel Eduardo CARABALI CARABALI","Libre pro","7","25","Yamaha","Valle del Cauca","Carasucias","1","0","6"
"13","630","Samuel Andres PINTO DUARTE","Libre pro","3","29","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1","2","0"
"14","229","Rubén Dario peña hoyos","Libre pro","1","31","Yamaha","Valle del Cauca","Carasucias","1","0","0"
