"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","3","Quindío","CLUB RUTEROS DEL QUINDIO","GasGas","8","Libre pro","1:09.851","3","","",""
"2","563","Jhon Jader Valero Palencia","2","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","8","Libre pro","1:13.158","2","14.995","14.995",""
"3","199","Nicolas Felipe REY REY","1","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","8","Libre pro","1:15.523","4","41.914","26.919",""
"4","983","EDINSON ANDRES CASAS PLAZA","1","Huila","CLUB MOTO JAPONESA","KTM","8","Libre pro","1:14.462","4","1:00.571","18.657",""
"5","318","Samuel ARDILA","1","Antioquia","CLUB GRILLOS RACING","GasGas","8","Libre pro","1:14.620","5","1:06.845","6.274",""
"6","229","Rubén Dario peña hoyos","1","Valle del Cauca","Carasucias","Yamaha","7","Libre pro","1:20.319","6","1 Vuelta","1 Vuelta",""
"7","710","Juan David MENDOZA DUARTE","1","Meta","VILLAVICENCIO RACING CLUB","Yamaha","7","Libre pro","1:22.016","3","1 Vuelta","7.867",""
"8","O-423","Juan Camilo Obando","1","Valle","","","7","Libre pro","1:23.946","3","1 Vuelta","17.074",""
"9","937","Jose Miguel MAYOR BEDOYA","1","Valle del Cauca","Carasucias","KTM","7","Libre pro","1:23.266","6","1 Vuelta","5.143",""
"10","411","Juan Sebastian GIRON CARVAJAL","1","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","7","Libre pro","1:19.515","3","1 Vuelta","0.951",""
"11","O-444","Faber Andres Giraldo","1","Valle","","","7","Libre pro","1:24.937","4","1 Vuelta","3.646",""
"12","722","Alan HERNANDEZ RABE","1","Valle del Cauca","Carasucias","Sherco","7","Libre pro","1:26.044","4","1 Vuelta","11.004",""
"13","269","Jhon santiago HERNANDEZ BERMUDEZ","1","Valle del Cauca","Carasucias","Yamaha","6","Libre pro","1:26.833","4","2 Vueltas","1 Vuelta",""
"NT","O-217","Hector Fabio Restrepo","1","Valle","","","2","Libre pro","1:30.645","2","NT","",""
"NT","814","Abel Eduardo CARABALI CARABALI","1","Valle del Cauca","Carasucias","Yamaha","","Libre pro","","0","NT","",""
